"","mun","uf","crivo1","crivo2","sexo","idade","fx.idade","esc","sit","pea","satdem","jg1","jg3","jg4","fechacn","gc1","gc2","gc5","gc6","gc7","gc8","gc11","gc18","avalcn","problemabr","avallula","avalbolsonaro","avalmoro","avaldino","avalciro","avaldoria","avalhaddad","militargov","info1","voto18","ed","partsimp","partsimp2","partsimpn","partisimpn2","avalgov","cara1","cara2","cara3","cara4","cara5","cara6","cara7","cara8","classe8","classe8a","classe3m","classe3m_a","classe1","rcor","relig","fx.renda","reg"
"1","-Itaguaçu da Bahia "," Bahia "," - Sim ","- Não ","Feminino",32," – 25 a 34 anos"," - Colegial completo (3ª série do ensino médio)"," - Empregado assalariado sem registro em carteira","PEA"," - Insatisfeito"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Sim"," - Confia pouco"," - Não confia"," - Não confia"," - Confia mais ou menos"," - Não confia"," - Confia mais ou menos"," - Não confia"," - Confia pouco"," - Ruim"," - Pandemia do novo Corona vírus ","Não gosta de jeito nenhum","8","4","5","Não gosta de jeito nenhum","5","Não gosta de jeito nenhum","Sim","-Noticiário da TV ","Jair Bolsonaro"," - 5"," - Não",NA,"Sim "," - PT "," - Bom"," - deveria continuar no cargo"," – NS"," - É normal que ocorram em uma democracia"," - Discorda pouco",". O SUS tem se saído mal no enfrentamento da pandemia e sua continuidade  deveria ser discutida"," - de governadores e prefeitos",". Saindo de casa só quando é inevitável"," - Concorda pouco","- Permaneceram na mesma classe","- Mais baixa","- Permaneceram na mesma classe","- Média baixa","- Média baixa"," - Pardo"," - Católica ","Até R$ 1045,00 (até 1 SM) ","Nordeste"
"2","-Itaguaçu da Bahia "," Bahia "," - Sim ","- Não ","Feminino",27," – 25 a 34 anos"," - Ensino universitário incompleto ou especialização (técnico após ensino médio)"," - Empregado assalariado sem registro em carteira","PEA"," - Insatisfeito"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado","Seria justificado que os militares tomassem o poder por um golpe de estado"," - Sim"," - Não confia"," - Não confia"," - Confia pouco"," - Não confia"," - Não confia"," - Não confia"," - Não confia"," - Confia pouco"," - Regular "," - Corrupção ","Não gosta de jeito nenhum","Não gosta de jeito nenhum","Gosta muito","NS","7","5","Não gosta de jeito nenhum","Sim","-Facebook","Jair Bolsonaro"," - 5"," - Não",NA,"Sim "," - PT "," - Ruim","-  deveria ser afastado do cargo enquanto responde a um processo aberto pela PGR","-Sim "," - É normal que ocorram em uma democracia"," - Concorda pouco",". O SUS tem se saído bem no enfrentamento da pandemia com os recursos que tem e não se justifica um aumento no financi"," - de governadores e prefeitos"," . Tomando cuidado, mas ainda saindo de casa para trabalhar ou fazer outras atividades"," - Concorda pouco","Mudaram de classe social","- Média baixa","Mudaram de classe social","- Média média","- Média média"," - Branco"," Budista ",". De R$ 3136,00 a R$ 5225,00 (+ de 3SM até 5 SM) ","Nordeste"
"3","-Salvador "," Bahia "," - Sim ","- Não ","Feminino",29," – 25 a 34 anos"," - Primário incompleto (até 3ª serie do ensino fundamental)"," - Dona de casa ","NÃO PEA"," - Insatisfeito","Seria justificado que os militares tomassem o poder por um golpe de estado","Seria justificado que os militares tomassem o poder por um golpe de estado","Seria justificado que os militares tomassem o poder por um golpe de estado"," - Não"," - Confia pouco"," - Não confia"," - Confia mais ou menos"," - Confia pouco"," - Confia pouco"," - Não confia"," - Não confia"," - Não confia"," - Regular "," - Desemprego/falta de emprego ","9","3","Não gosta de jeito nenhum","NS","8","5","Não gosta de jeito nenhum","Sim","-Noticiário da TV ","Jair Bolsonaro"," - NS "," - Não",NA,"Sim "," - PT "," - Regular"," deveria sofrer um impeachment","-Sim "," - É normal que ocorram em uma democracia","Concorda muito",". O SUS tem se saído bem no enfrentamento da pandemia com os recursos que tem e não se justifica um aumento no financi"," - de governadores e prefeitos",". Saindo de casa só quando é inevitável","Concorda muito","Mudaram de classe social","- Média média","Mudaram de classe social","- Média baixa","- Média baixa"," Preto"," - Católica ",". De R$ 2091,00 a R$ 3135,00 (+ de 2SM até 3 SM) ","Nordeste"
"4","-Itaguaçu da Bahia "," Bahia "," - Sim ","- Não ","Feminino",37," – 35 a 44 anos"," - Colegial completo (3ª série do ensino médio)"," - Autônomo / conta própria","PEA"," - Muito insatisfeito"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não"," - Confia pouco"," - Não confia"," - Confia mais ou menos"," - Confia mais ou menos"," - Confia pouco"," - Não confia"," - Confia muito"," - Confia pouco"," - Bom"," - Corrupção ","8","Não gosta de jeito nenhum","8","Não gosta de jeito nenhum","4","8","8"," - Não","-Noticiário da TV "," – Fernando Haddad"," - 2 "," - Não",NA,"Sim "," - PSL "," - Péssimo"," deveria sofrer um impeachment","-Sim ","Não podem ocorrer em uma democracia ","Concorda muito","A pandemia mostra a importância do SUS e justifica um substancial aumento em seu financiamento"," - de governadores e prefeitos"," . Tomando cuidado, mas ainda saindo de casa para trabalhar ou fazer outras atividades","Concorda muito","Mudaram de classe social","- Média média","Mudaram de classe social","- Baixa","- Baixa"," - Amarela"," - Católica ",". De R$ 1046,00 a R$ 2090,00 (+ de 1SM até 2 SM) ","Nordeste"
"5","-São Paulo ","São Paulo "," - Sim ","- Não ","Feminino",24," – 18 a 24 anos "," - Ginásio completo (8ª série do ensino fundamental)"," - Autônomo / conta própria","PEA"," - Insatisfeito","Seria justificado que os militares tomassem o poder por um golpe de estado","Seria justificado que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não"," - Não confia"," - Confia pouco"," - Confia pouco"," - Confia mais ou menos"," - Confia mais ou menos"," - Não confia"," - Confia pouco"," - Confia mais ou menos"," - Ótimo"," - Pandemia do novo Corona vírus ","7","Não gosta de jeito nenhum","8","5","NS","2","3","Sim","-Noticiário da TV "," – Não compareceu/JUSTIFICOU"," - 1 [esquerda] "," - Não",NA," - NS ",NA," - Péssimo"," deveria sofrer um impeachment","-Sim "," - É normal que ocorram em uma democracia"," - Concorda pouco",". O SUS tem se saído mal no enfrentamento da pandemia e sua continuidade  deveria ser discutida"," - do governo federal",". Saindo de casa só quando é inevitável","Concorda muito","- Permaneceram na mesma classe","- Média baixa","Mudaram de classe social","- Média baixa","- Baixa"," - Pardo"," – NS",". De R$ 1046,00 a R$ 2090,00 (+ de 1SM até 2 SM) ","Sudeste"
"6","-Pontalina ","Goiás  "," - Sim ","- Não ","Masculino",66,"65 ou mais"," - Analfabeto/ Nunca frequentou escola"," - Aposentado por invalidez ","NÃO PEA"," - Satisfeito"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - NS"," - Confia pouco"," - Confia mais ou menos"," - Confia mais ou menos"," - Confia muito"," - Confia mais ou menos"," - Confia mais ou menos"," - Confia mais ou menos"," - Confia mais ou menos"," - Regular "," - Pandemia do novo Corona vírus ","Gosta muito","Não gosta de jeito nenhum","3","Não gosta de jeito nenhum","2","5","8","Sim","-Amigos e familiares "," – Fernando Haddad"," - 7 ","Sim "," - PT ","Sim "," - PSDB"," - Regular","-  deveria ser afastado do cargo enquanto responde a um processo aberto pela PGR","-Sim ","Não podem ocorrer em uma democracia "," - NS","A pandemia mostra a importância do SUS e justifica um substancial aumento em seu financiamento"," - de governadores e prefeitos",". Está totalmente isolado, sem sair de casa de jeito nenhum"," - Discorda muito","Mudaram de classe social","- Média média","Mudaram de classe social","- Média média","- Média média"," - Pardo"," - Católica ",". De R$ 1046,00 a R$ 2090,00 (+ de 1SM até 2 SM) ","Centro-Oeste"
"7","-Curitiba ","Paraná "," - Sim ","- Não ","Masculino",24," – 18 a 24 anos "," - Colegial incompleto (até 2ª série do ensino médio)"," - Empregado assalariado com registro em carteira","PEA"," - Insatisfeito","Seria justificado que os militares tomassem o poder por um golpe de estado","Seria justificado que os militares tomassem o poder por um golpe de estado","Seria justificado que os militares tomassem o poder por um golpe de estado"," - Não"," - Confia pouco"," - Não confia"," - Confia muito"," - Confia muito"," - Confia pouco"," - Confia muito"," - Não confia"," - Confia pouco"," - Péssimo"," - Desemprego/falta de emprego ","5","8","8","NS","Não gosta de jeito nenhum","3","Não gosta de jeito nenhum","Sim","Jornais e Revistas ","Jair Bolsonaro"," - NS "," - Não",NA,"Sim "," - PT "," - Bom"," deveria sofrer um impeachment","-Sim "," - É normal que ocorram em uma democracia"," - Concorda pouco","A pandemia mostra a importância do SUS e justifica um substancial aumento em seu financiamento"," - de governadores e prefeitos"," . Tomando cuidado, mas ainda saindo de casa para trabalhar ou fazer outras atividades"," - Discorda pouco","Mudaram de classe social","- Média alta","Mudaram de classe social","- Média alta","- Média baixa"," - Branco"," - Evangélica ",". De R$ 2091,00 a R$ 3135,00 (+ de 2SM até 3 SM) ","Sul"
"8","-Itaguaçu da Bahia "," Bahia "," - Sim ","- Não ","Masculino",25," – 25 a 34 anos"," - Ensino universitário completo"," - Funcionário / Servidor Público","PEA"," - Muito insatisfeito"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não"," - Confia mais ou menos"," - Não confia"," - Confia pouco"," - Não confia"," - Não confia"," - Não confia"," - Confia pouco"," - Não confia"," - Péssimo"," - Pandemia do novo Corona vírus ","5","Não gosta de jeito nenhum","Não gosta de jeito nenhum","NS","Não gosta de jeito nenhum","5","3"," - Não","-Instagram"," – Fernando Haddad"," - 4 "," - Não",NA,"Sim "," - PSL "," - Péssimo"," deveria sofrer um impeachment","-Sim ","Não podem ocorrer em uma democracia ","Concorda muito","A pandemia mostra a importância do SUS e justifica um substancial aumento em seu financiamento"," - do governo federal",". Saindo de casa só quando é inevitável","Concorda muito","- Permaneceram na mesma classe","- Baixa","- Permaneceram na mesma classe","- Média baixa","- Média baixa"," - Pardo"," - É ateu/ Agnóstico/ Não acredita em Deus",". De R$ 3136,00 a R$ 5225,00 (+ de 3SM até 5 SM) ","Nordeste"
"9","-Belford Roxo ","Rio de Janeiro "," - Sim ","- Não ","Masculino",24," – 18 a 24 anos "," - Colegial completo (3ª série do ensino médio)"," - Desempregado (procurando emprego)","PEA"," - Satisfeito"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado","Seria justificado que os militares tomassem o poder por um golpe de estado"," - Sim"," - Confia mais ou menos"," - Confia pouco"," - Confia mais ou menos"," - Confia muito"," - Confia pouco"," - Confia mais ou menos"," - Não confia"," - Não confia"," - Ruim"," - Corrupção ","4","7","7","5","4","3","2","Sim","-Busca/PESQUISA no Google (SITES?)","Jair Bolsonaro"," - 5"," - Não",NA," - Não",NA," - Regular"," - deveria continuar no cargo","-Não"," - É normal que ocorram em uma democracia"," - Nem concorda nem discorda","A pandemia mostra a importância do SUS e justifica um substancial aumento em seu financiamento"," - depende da situação "," . Tomando cuidado, mas ainda saindo de casa para trabalhar ou fazer outras atividades"," - Nem concorda nem discorda","- Permaneceram na mesma classe","- Média baixa","Mudaram de classe social","- Média baixa","- Baixa"," Preto"," - Evangélica ",". De R$ 1046,00 a R$ 2090,00 (+ de 1SM até 2 SM) ","Sudeste"
"10","-São Paulo ","São Paulo "," - Sim ","- Não ","Masculino",33," – 25 a 34 anos"," - Colegial completo (3ª série do ensino médio)"," - Empregado assalariado com registro em carteira","PEA"," - Insatisfeito","Seria justificado que os militares tomassem o poder por um golpe de estado","Seria justificado que os militares tomassem o poder por um golpe de estado","Seria justificado que os militares tomassem o poder por um golpe de estado"," - Não"," - Não confia"," - Não confia"," - Confia muito"," - Confia mais ou menos"," - Não confia"," - Confia muito"," - Não confia"," - Confia mais ou menos"," - Péssimo"," - Delinquência, crime ","Não gosta de jeito nenhum","Gosta muito","Não gosta de jeito nenhum","Não gosta de jeito nenhum","Não gosta de jeito nenhum","Não gosta de jeito nenhum","Não gosta de jeito nenhum","Sim","-Busca/PESQUISA no Google (SITES?)"," – Não compareceu/JUSTIFICOU"," - 10 [direita]"," - Não",NA,"Sim "," - PT ","Ótimo"," deveria sofrer um impeachment","-Não"," - É normal que ocorram em uma democracia"," - Concorda pouco"," – NS"," - do governo federal"," . Tomando cuidado, mas ainda saindo de casa para trabalhar ou fazer outras atividades"," - Discorda muito","- Permaneceram na mesma classe","- Mais baixa","- Permaneceram na mesma classe","- Média baixa","- Média média"," - Pardo"," - Outra ",". De R$ 2091,00 a R$ 3135,00 (+ de 2SM até 3 SM) ","Sudeste"
